checking_acc,duration_mnth,credit_hist,purpose,credit_amt,savings_acc,emp_status,installment_rate,pstatus_sex,guarantor,Residence_LOS,property,age,installment_plan,housing,existing_credit,job,dependents,telephone,foreign_worker,credit
Btw 0 to 199 DM,30,Existing credits paid back duly,new car,2150,Less than 100 DM,Btw 1 to 4 years,4,female_divorced/separated/married,guarantor,2,none,24,bank,own,1,skilled employee,1,none,yes,good
none,24,Delays in paying off,furniture/equipment,4151,Btw 100 to 499 DM,Btw 1 to 4 years,2,male_single,none,3,BSSA or life insurance,35,none,own,2,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,9,Existing credits paid back duly,furniture/equipment,2030,none,Btw 4 to 7 years,2,male_single,none,1,car or other,24,none,own,1,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,60,Delays in paying off,radio/television,7418,none,Btw 1 to 4 years,1,male_single,none,1,real estate,27,none,own,1,unskilled - resident,1,none,yes,bad
none,24,Critical account,radio/television,2684,Less than 100 DM,Btw 1 to 4 years,4,male_single,none,2,real estate,35,none,own,2,unskilled - resident,1,none,yes,bad
Less than 0 DM,12,All credits taken paid back duly,radio/television,2149,Less than 100 DM,Btw 1 to 4 years,4,male_divorced/separated,none,1,none,29,none,free,1,skilled employee,1,none,yes,good
none,15,Existing credits paid back duly,used car,3812,Btw 100 to 499 DM,Less than a year,1,female_divorced/separated/married,none,4,car or other,23,none,own,1,skilled employee,1,registered,yes,bad
none,11,Critical account,radio/television,1154,Btw 100 to 499 DM,unemployed,4,female_divorced/separated/married,none,4,real estate,57,none,own,3,unskilled - resident,1,none,yes,bad
Less than 0 DM,12,Existing credits paid back duly,furniture/equipment,1657,Less than 100 DM,Btw 1 to 4 years,2,male_single,none,2,real estate,27,none,own,1,skilled employee,1,none,yes,bad
Less than 0 DM,24,Existing credits paid back duly,radio/television,1603,Less than 100 DM,Greater than 7 years,4,female_divorced/separated/married,none,4,car or other,55,none,own,1,skilled employee,1,none,yes,bad
Less than 0 DM,18,Critical account,new car,5302,Less than 100 DM,Greater than 7 years,2,male_single,none,4,none,36,none,free,3,self-employed/management employee,1,registered,yes,bad
none,12,Critical account,education,2748,Less than 100 DM,Greater than 7 years,2,female_divorced/separated/married,none,4,none,57,bank,free,3,unskilled - resident,1,none,yes,bad
none,10,Critical account,new car,1231,Less than 100 DM,Greater than 7 years,3,male_single,none,4,real estate,32,none,own,2,unskilled - resident,2,none,no,bad
Btw 0 to 199 DM,15,Existing credits paid back duly,radio/television,802,Less than 100 DM,Greater than 7 years,4,male_single,none,3,car or other,37,none,own,1,skilled employee,2,none,yes,good
none,36,Critical account,business,6304,none,Greater than 7 years,4,male_single,none,4,real estate,36,none,own,2,skilled employee,1,none,yes,bad
none,24,Existing credits paid back duly,radio/television,1533,Less than 100 DM,Less than a year,4,female_divorced/separated/married,none,3,car or other,38,stores,own,1,skilled employee,1,registered,yes,bad
Less than 0 DM,14,Existing credits paid back duly,new car,8978,Less than 100 DM,Greater than 7 years,1,male_divorced/separated,none,4,BSSA or life insurance,45,none,own,1,self-employed/management employee,1,registered,no,good
none,24,Existing credits paid back duly,radio/television,999,none,Greater than 7 years,4,male_single,none,2,car or other,25,none,own,2,skilled employee,1,none,yes,bad
none,18,Existing credits paid back duly,new car,2662,none,Btw 4 to 7 years,4,male_single,none,3,BSSA or life insurance,32,none,own,1,skilled employee,1,none,no,bad
none,12,Critical account,furniture/equipment,1402,Btw 500 to 999 DM,Btw 4 to 7 years,3,female_divorced/separated/married,none,4,car or other,37,none,rent,1,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,48,All credits taken paid back duly,new car,12169,none,unemployed,4,male_single,co-applicant,4,none,36,none,free,1,self-employed/management employee,1,registered,yes,bad
Btw 0 to 199 DM,48,Existing credits paid back duly,radio/television,3060,Less than 100 DM,Btw 4 to 7 years,4,male_single,none,4,real estate,28,none,own,2,skilled employee,1,none,yes,good
Less than 0 DM,30,Existing credits paid back duly,repairs,11998,Less than 100 DM,Less than a year,1,male_divorced/separated,none,1,none,34,none,own,1,unskilled - resident,1,registered,yes,good
none,9,Existing credits paid back duly,radio/television,2697,Less than 100 DM,Btw 1 to 4 years,1,male_single,none,2,real estate,32,none,own,1,skilled employee,2,none,yes,bad
none,18,Critical account,radio/television,2404,Less than 100 DM,Btw 1 to 4 years,2,female_divorced/separated/married,none,2,car or other,26,none,own,2,skilled employee,1,none,yes,bad
Less than 0 DM,12,Existing credits paid back duly,furniture/equipment,1262,none,Greater than 7 years,2,male_divorced/separated,none,4,BSSA or life insurance,49,none,own,1,unskilled - resident,1,registered,yes,bad
none,6,Existing credits paid back duly,furniture/equipment,4611,Less than 100 DM,Less than a year,1,female_divorced/separated/married,none,4,BSSA or life insurance,32,none,own,1,skilled employee,1,none,yes,good
none,24,Existing credits paid back duly,radio/television,1901,Btw 100 to 499 DM,Btw 1 to 4 years,4,male_single,none,4,car or other,29,none,rent,1,self-employed/management employee,1,registered,yes,bad
none,15,Critical account,used car,3368,Equal or Greater than 1000 DM,Greater than 7 years,3,male_single,none,4,none,23,none,rent,2,skilled employee,1,registered,yes,bad
none,12,Existing credits paid back duly,furniture/equipment,1574,Less than 100 DM,Btw 1 to 4 years,4,male_single,none,2,real estate,50,none,own,1,skilled employee,1,none,yes,bad
Equal or Greater than 200 DM,18,All credits taken paid back duly,radio/television,1445,none,Btw 4 to 7 years,4,male_single,none,4,car or other,49,bank,own,1,unskilled - resident,1,none,yes,bad
none,15,Critical account,furniture/equipment,1520,none,Greater than 7 years,4,male_single,none,4,BSSA or life insurance,63,none,own,1,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,24,Critical account,new car,3878,Btw 100 to 499 DM,Less than a year,4,male_divorced/separated,none,2,car or other,37,none,own,1,skilled employee,1,registered,yes,bad
Less than 0 DM,47,Existing credits paid back duly,new car,10722,Less than 100 DM,Less than a year,1,female_divorced/separated/married,none,1,real estate,35,none,own,1,unskilled - resident,1,registered,yes,bad
Less than 0 DM,48,Existing credits paid back duly,used car,4788,Less than 100 DM,Btw 4 to 7 years,4,male_single,none,3,BSSA or life insurance,26,none,own,1,skilled employee,2,none,yes,bad
Btw 0 to 199 DM,48,Delays in paying off,others,7582,Btw 100 to 499 DM,unemployed,2,male_single,none,4,none,31,none,free,1,self-employed/management employee,1,registered,yes,bad
Btw 0 to 199 DM,12,Existing credits paid back duly,radio/television,1092,Less than 100 DM,Btw 1 to 4 years,4,female_divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee,1,registered,yes,bad
Less than 0 DM,24,Delays in paying off,radio/television,1024,Less than 100 DM,Less than a year,4,male_married/widowed,none,4,real estate,48,stores,own,1,skilled employee,1,none,yes,good
none,12,Existing credits paid back duly,business,1076,Less than 100 DM,Btw 1 to 4 years,2,male_married/widowed,none,2,real estate,26,none,own,1,skilled employee,1,registered,no,bad
Btw 0 to 199 DM,36,Existing credits paid back duly,used car,9398,Less than 100 DM,Less than a year,1,male_married/widowed,none,4,car or other,28,none,rent,1,self-employed/management employee,1,registered,yes,good
Less than 0 DM,24,Critical account,used car,6419,Less than 100 DM,Greater than 7 years,2,female_divorced/separated/married,none,4,none,44,none,free,2,self-employed/management employee,2,registered,yes,bad
Equal or Greater than 200 DM,42,Critical account,used car,4796,Less than 100 DM,Greater than 7 years,4,male_single,none,4,none,56,none,free,1,skilled employee,1,none,yes,bad
none,48,Critical account,business,7629,none,Greater than 7 years,4,male_divorced/separated,none,2,car or other,46,bank,own,2,self-employed/management employee,2,none,yes,bad
Btw 0 to 199 DM,48,Existing credits paid back duly,furniture/equipment,9960,Less than 100 DM,Less than a year,1,female_divorced/separated/married,none,2,car or other,26,none,own,1,skilled employee,1,registered,yes,good
none,12,Existing credits paid back duly,used car,4675,none,Less than a year,1,female_divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee,1,none,yes,bad
none,10,Existing credits paid back duly,new car,1287,none,Greater than 7 years,4,male_single,co-applicant,2,BSSA or life insurance,45,none,own,1,unskilled - resident,1,none,no,bad
none,18,Existing credits paid back duly,furniture/equipment,2515,Less than 100 DM,Btw 1 to 4 years,3,male_single,none,4,real estate,43,none,own,1,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,21,Critical account,furniture/equipment,2745,Equal or Greater than 1000 DM,Btw 4 to 7 years,3,male_single,none,2,car or other,32,none,own,2,skilled employee,1,registered,yes,bad
none,6,Existing credits paid back duly,new car,672,Less than 100 DM,unemployed,1,female_divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/unskilled - non-resident,1,registered,yes,bad
Btw 0 to 199 DM,36,No credits taken,radio/television,3804,Less than 100 DM,Btw 1 to 4 years,4,female_divorced/separated/married,none,1,car or other,42,none,own,1,skilled employee,1,registered,yes,good
Equal or Greater than 200 DM,24,Critical account,new car,1344,none,Btw 4 to 7 years,4,male_single,none,2,real estate,37,bank,own,2,unskilled - resident,2,none,yes,good
Less than 0 DM,10,Critical account,new car,1038,Less than 100 DM,Btw 4 to 7 years,4,male_single,co-applicant,3,BSSA or life insurance,49,none,own,2,skilled employee,1,registered,yes,bad
none,48,Critical account,new car,10127,Btw 500 to 999 DM,Btw 1 to 4 years,2,male_single,none,2,none,44,bank,free,1,skilled employee,1,none,yes,good
none,6,Existing credits paid back duly,furniture/equipment,1543,Equal or Greater than 1000 DM,Btw 1 to 4 years,4,male_divorced/separated,none,2,real estate,33,none,own,1,skilled employee,1,none,yes,bad
none,30,Existing credits paid back duly,used car,4811,none,Btw 4 to 7 years,2,female_divorced/separated/married,none,4,BSSA or life insurance,24,stores,rent,1,unskilled - resident,1,none,yes,bad
Less than 0 DM,12,Existing credits paid back duly,radio/television,727,Btw 100 to 499 DM,Less than a year,4,male_married/widowed,none,3,none,33,none,own,1,unskilled - resident,1,registered,yes,good
Btw 0 to 199 DM,8,Existing credits paid back duly,furniture/equipment,1237,Less than 100 DM,Btw 1 to 4 years,3,female_divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee,1,none,yes,good
Btw 0 to 199 DM,9,Existing credits paid back duly,new car,276,Less than 100 DM,Btw 1 to 4 years,4,male_married/widowed,none,4,real estate,22,none,rent,1,unskilled - resident,1,none,yes,bad
Btw 0 to 199 DM,48,Existing credits paid back duly,others,5381,none,unemployed,3,male_single,none,4,none,40,bank,free,1,unemployed/unskilled - non-resident,1,registered,yes,bad
none,24,Existing credits paid back duly,furniture/equipment,5511,Btw 100 to 499 DM,Btw 1 to 4 years,4,male_single,none,1,car or other,25,stores,own,1,skilled employee,1,none,yes,bad
Equal or Greater than 200 DM,24,Existing credits paid back duly,furniture/equipment,3749,Less than 100 DM,Less than a year,2,female_divorced/separated/married,none,4,car or other,26,none,own,1,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,12,Existing credits paid back duly,new car,685,Less than 100 DM,Btw 4 to 7 years,2,male_married/widowed,none,3,car or other,25,bank,own,1,unskilled - resident,1,none,yes,good
Equal or Greater than 200 DM,4,Existing credits paid back duly,new car,1494,none,Less than a year,1,male_single,none,2,real estate,29,none,own,1,unskilled - resident,2,none,no,bad
Less than 0 DM,36,All credits taken paid back duly,furniture/equipment,2746,Less than 100 DM,Greater than 7 years,4,male_single,none,4,car or other,31,bank,own,1,skilled employee,1,none,yes,good
Less than 0 DM,12,Existing credits paid back duly,furniture/equipment,708,Less than 100 DM,Btw 1 to 4 years,2,male_single,guarantor,3,BSSA or life insurance,38,none,own,1,unskilled - resident,2,none,yes,bad
Btw 0 to 199 DM,24,Existing credits paid back duly,furniture/equipment,4351,none,Btw 1 to 4 years,1,female_divorced/separated/married,none,4,BSSA or life insurance,48,none,own,1,unskilled - resident,1,registered,yes,bad
none,12,Critical account,education,701,Less than 100 DM,Btw 1 to 4 years,4,male_single,none,2,car or other,32,none,own,2,skilled employee,1,none,yes,bad
Less than 0 DM,15,Delays in paying off,furniture/equipment,3643,Less than 100 DM,Greater than 7 years,1,female_divorced/separated/married,none,4,BSSA or life insurance,27,none,own,2,unskilled - resident,1,none,yes,bad
Btw 0 to 199 DM,30,Critical account,new car,4249,Less than 100 DM,unemployed,4,male_married/widowed,none,2,car or other,28,none,own,2,self-employed/management employee,1,none,yes,good
Less than 0 DM,24,Existing credits paid back duly,radio/television,1938,Less than 100 DM,Less than a year,4,male_divorced/separated,none,3,BSSA or life insurance,32,none,own,1,skilled employee,1,none,yes,good
Less than 0 DM,24,Existing credits paid back duly,used car,2910,Less than 100 DM,Btw 4 to 7 years,2,male_single,none,1,none,34,none,free,1,self-employed/management employee,1,registered,yes,bad
Less than 0 DM,18,Existing credits paid back duly,furniture/equipment,2659,Equal or Greater than 1000 DM,Btw 1 to 4 years,4,male_single,none,2,car or other,28,none,own,1,skilled employee,1,none,yes,bad
none,18,Critical account,new car,1028,Less than 100 DM,Btw 1 to 4 years,4,female_divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee,1,none,yes,bad
Less than 0 DM,8,Critical account,new car,3398,Less than 100 DM,Btw 4 to 7 years,1,male_single,none,4,real estate,39,none,own,2,unskilled - resident,1,none,no,bad
none,12,Critical account,furniture/equipment,5801,none,Greater than 7 years,2,male_single,none,4,BSSA or life insurance,49,none,rent,1,skilled employee,1,registered,yes,bad
none,24,Existing credits paid back duly,new car,1525,Equal or Greater than 1000 DM,Btw 4 to 7 years,4,female_divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee,2,registered,yes,bad
Equal or Greater than 200 DM,36,Existing credits paid back duly,radio/television,4473,Less than 100 DM,Greater than 7 years,4,male_single,none,2,car or other,31,none,own,1,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,6,Existing credits paid back duly,radio/television,1068,Less than 100 DM,Greater than 7 years,4,male_single,none,4,car or other,28,none,own,1,skilled employee,2,none,yes,bad
Less than 0 DM,24,Critical account,used car,6615,Less than 100 DM,unemployed,2,male_single,none,4,none,75,none,free,2,self-employed/management employee,1,registered,yes,bad
none,18,Critical account,education,1864,Btw 100 to 499 DM,Btw 1 to 4 years,4,female_divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee,1,none,yes,good
Btw 0 to 199 DM,60,Existing credits paid back duly,new car,7408,Btw 100 to 499 DM,Less than a year,4,female_divorced/separated/married,none,2,BSSA or life insurance,24,none,own,1,self-employed/management employee,1,none,yes,good
none,48,Critical account,used car,11590,Btw 100 to 499 DM,Btw 1 to 4 years,2,female_divorced/separated/married,none,4,car or other,24,bank,rent,2,unskilled - resident,1,none,yes,good
Less than 0 DM,24,No credits taken,furniture/equipment,4110,Less than 100 DM,Greater than 7 years,3,male_single,none,4,none,23,bank,rent,2,skilled employee,2,none,yes,good
Less than 0 DM,6,Critical account,furniture/equipment,3384,Less than 100 DM,Btw 1 to 4 years,1,male_divorced/separated,none,4,real estate,44,none,rent,1,self-employed/management employee,1,registered,yes,good
Btw 0 to 199 DM,13,Existing credits paid back duly,radio/television,2101,Less than 100 DM,Less than a year,2,female_divorced/separated/married,guarantor,4,BSSA or life insurance,23,none,own,1,unskilled - resident,1,none,yes,bad
Less than 0 DM,15,Existing credits paid back duly,domestic appliances,1275,none,Btw 1 to 4 years,4,female_divorced/separated/married,none,2,car or other,24,none,rent,1,skilled employee,1,none,yes,good
Less than 0 DM,24,Existing credits paid back duly,furniture/equipment,4169,Less than 100 DM,Btw 1 to 4 years,4,male_single,none,4,BSSA or life insurance,28,none,own,1,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,10,Existing credits paid back duly,furniture/equipment,1521,Less than 100 DM,Btw 1 to 4 years,4,male_divorced/separated,none,2,car or other,31,none,own,1,unskilled - resident,1,none,yes,bad
Btw 0 to 199 DM,24,Critical account,education,5743,Less than 100 DM,Less than a year,2,female_divorced/separated/married,none,4,none,24,none,free,2,skilled employee,1,registered,yes,bad
Less than 0 DM,21,Existing credits paid back duly,furniture/equipment,3599,Less than 100 DM,Btw 4 to 7 years,1,female_divorced/separated/married,none,4,car or other,26,none,rent,1,unskilled - resident,1,none,yes,bad
Btw 0 to 199 DM,18,Existing credits paid back duly,radio/television,3213,Btw 500 to 999 DM,Less than a year,1,male_married/widowed,none,3,real estate,25,none,rent,1,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,18,Existing credits paid back duly,business,4439,Less than 100 DM,Greater than 7 years,1,male_single,co-applicant,1,real estate,33,bank,own,1,self-employed/management employee,1,registered,yes,bad
Equal or Greater than 200 DM,10,Existing credits paid back duly,new car,3949,Less than 100 DM,Less than a year,1,male_single,guarantor,1,BSSA or life insurance,37,none,own,1,unskilled - resident,2,none,yes,bad
none,15,Critical account,radio/television,1459,Less than 100 DM,Btw 1 to 4 years,4,female_divorced/separated/married,none,2,car or other,43,none,own,1,unskilled - resident,1,none,yes,bad
Btw 0 to 199 DM,13,Critical account,radio/television,882,Less than 100 DM,Less than a year,4,male_single,guarantor,4,real estate,23,none,own,2,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,24,Existing credits paid back duly,radio/television,3758,Btw 500 to 999 DM,unemployed,1,female_divorced/separated/married,none,4,none,23,none,rent,1,unemployed/unskilled - non-resident,1,none,yes,bad
none,6,Delays in paying off,business,1743,Btw 100 to 499 DM,Btw 1 to 4 years,1,male_single,none,2,real estate,34,none,own,2,unskilled - resident,1,none,yes,bad
Btw 0 to 199 DM,9,Critical account,education,1136,Equal or Greater than 1000 DM,Greater than 7 years,4,male_single,none,3,none,32,none,free,2,skilled employee,2,none,yes,good
none,9,Existing credits paid back duly,domestic appliances,1236,Less than 100 DM,Less than a year,1,female_divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,9,Existing credits paid back duly,furniture/equipment,959,Less than 100 DM,Btw 1 to 4 years,1,female_divorced/separated/married,none,2,car or other,29,none,own,1,skilled employee,1,none,no,good
none,18,Critical account,used car,3229,none,unemployed,2,male_single,none,4,none,38,none,own,1,self-employed/management employee,1,registered,yes,bad
Less than 0 DM,12,No credits taken,radio/television,6199,Less than 100 DM,Btw 1 to 4 years,4,male_single,none,2,BSSA or life insurance,28,none,rent,2,skilled employee,1,registered,yes,good
none,10,Existing credits paid back duly,education,727,Btw 500 to 999 DM,Greater than 7 years,4,male_single,none,4,none,46,none,free,1,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,24,Existing credits paid back duly,new car,1246,Less than 100 DM,Less than a year,4,male_single,none,2,real estate,23,stores,own,1,unskilled - resident,1,none,yes,good
none,12,Critical account,radio/television,2331,none,Greater than 7 years,1,male_single,co-applicant,4,real estate,49,none,own,1,skilled employee,1,registered,yes,bad
none,36,Delays in paying off,radio/television,4463,Less than 100 DM,Btw 1 to 4 years,4,male_single,none,2,car or other,26,none,own,2,self-employed/management employee,1,registered,yes,good
none,12,Existing credits paid back duly,radio/television,776,Less than 100 DM,Btw 1 to 4 years,4,male_married/widowed,none,2,real estate,28,none,own,1,skilled employee,1,none,yes,bad
Less than 0 DM,30,Existing credits paid back duly,furniture/equipment,2406,Less than 100 DM,Btw 4 to 7 years,4,female_divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee,1,none,yes,good
Btw 0 to 199 DM,18,Existing credits paid back duly,education,1239,none,Btw 1 to 4 years,4,male_single,none,4,none,61,none,free,1,skilled employee,1,none,yes,bad
Equal or Greater than 200 DM,12,Existing credits paid back duly,radio/television,3399,none,Greater than 7 years,2,male_single,none,3,car or other,37,none,own,1,self-employed/management employee,1,none,yes,bad
Equal or Greater than 200 DM,12,Delays in paying off,new car,2247,Less than 100 DM,Btw 1 to 4 years,2,female_divorced/separated/married,none,2,car or other,36,stores,own,2,skilled employee,1,registered,yes,bad
none,6,Existing credits paid back duly,furniture/equipment,1766,Less than 100 DM,Btw 1 to 4 years,1,male_married/widowed,none,2,BSSA or life insurance,21,none,rent,1,skilled employee,1,none,yes,bad
Less than 0 DM,18,Existing credits paid back duly,furniture/equipment,2473,Less than 100 DM,unemployed,4,male_single,none,1,car or other,25,none,own,1,unemployed/unskilled - non-resident,1,none,yes,good
none,12,Existing credits paid back duly,business,1542,Less than 100 DM,Btw 4 to 7 years,2,male_single,none,4,car or other,36,none,own,1,skilled employee,1,registered,yes,bad
none,18,Critical account,used car,3850,Less than 100 DM,Btw 4 to 7 years,3,male_single,none,1,car or other,27,none,own,2,skilled employee,1,none,yes,bad
Less than 0 DM,18,Existing credits paid back duly,furniture/equipment,3650,Less than 100 DM,Less than a year,1,female_divorced/separated/married,none,4,car or other,22,none,rent,1,skilled employee,1,none,yes,bad
Less than 0 DM,36,Existing credits paid back duly,furniture/equipment,3446,Less than 100 DM,Greater than 7 years,4,male_single,none,2,car or other,42,none,own,1,skilled employee,2,none,yes,good
Btw 0 to 199 DM,18,Existing credits paid back duly,furniture/equipment,3001,Less than 100 DM,Btw 4 to 7 years,2,female_divorced/separated/married,none,4,real estate,40,none,rent,1,skilled employee,1,none,yes,bad
none,36,Existing credits paid back duly,new car,3079,none,Btw 1 to 4 years,4,male_single,none,4,real estate,36,none,own,1,skilled employee,1,none,yes,bad
none,18,Critical account,radio/television,6070,Less than 100 DM,Greater than 7 years,3,male_single,none,4,car or other,33,none,own,2,skilled employee,1,registered,yes,bad
none,10,Critical account,furniture/equipment,2146,Less than 100 DM,Less than a year,1,female_divorced/separated/married,none,3,real estate,23,none,rent,2,skilled employee,1,none,yes,bad
none,60,Critical account,new car,13756,none,Greater than 7 years,2,male_single,none,4,none,63,bank,free,1,self-employed/management employee,1,registered,yes,bad
Btw 0 to 199 DM,60,All credits taken paid back duly,others,14782,Btw 100 to 499 DM,Greater than 7 years,3,female_divorced/separated/married,none,4,none,60,bank,free,2,self-employed/management employee,1,registered,yes,good
Less than 0 DM,48,All credits taken paid back duly,business,7685,Less than 100 DM,Btw 4 to 7 years,2,female_divorced/separated/married,guarantor,4,car or other,37,none,rent,1,skilled employee,1,none,yes,good
none,18,Delays in paying off,radio/television,2320,Less than 100 DM,unemployed,2,male_married/widowed,none,3,real estate,34,none,own,2,skilled employee,1,none,yes,bad
none,7,Delays in paying off,radio/television,846,none,Greater than 7 years,3,male_single,none,4,none,36,none,free,1,skilled employee,1,none,yes,bad
Btw 0 to 199 DM,36,Existing credits paid back duly,new car,14318,Less than 100 DM,Greater than 7 years,4,male_single,none,2,none,57,none,free,1,self-employed/management employee,1,registered,yes,good
none,6,Critical account,new car,362,Btw 100 to 499 DM,Btw 1 to 4 years,4,female_divorced/separated/married,none,4,car or other,52,none,own,2,unskilled - resident,1,none,yes,bad
Less than 0 DM,20,Existing credits paid back duly,furniture/equipment,2212,none,Btw 4 to 7 years,4,male_single,none,4,car or other,39,none,own,1,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,18,Existing credits paid back duly,used car,12976,Less than 100 DM,unemployed,3,female_divorced/separated/married,none,4,none,38,none,free,1,self-employed/management employee,1,registered,yes,good
none,22,Existing credits paid back duly,new car,1283,none,Btw 4 to 7 years,4,female_divorced/separated/married,none,4,BSSA or life insurance,25,none,rent,1,skilled employee,1,none,yes,bad
Equal or Greater than 200 DM,12,Existing credits paid back duly,new car,1330,Less than 100 DM,Less than a year,4,male_single,none,1,real estate,26,none,own,1,skilled employee,1,none,yes,bad
none,30,Delays in paying off,business,4272,Btw 100 to 499 DM,Btw 1 to 4 years,2,male_single,none,2,BSSA or life insurance,26,none,own,2,unskilled - resident,1,none,yes,bad
none,18,Critical account,radio/television,2238,Less than 100 DM,Btw 1 to 4 years,2,female_divorced/separated/married,none,1,car or other,25,none,own,2,skilled employee,1,none,yes,bad
none,18,Existing credits paid back duly,radio/television,1126,none,Less than a year,4,female_divorced/separated/married,none,2,real estate,21,none,rent,1,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,18,Critical account,furniture/equipment,7374,Less than 100 DM,unemployed,4,male_single,none,4,BSSA or life insurance,40,stores,own,2,self-employed/management employee,1,registered,yes,bad
Btw 0 to 199 DM,15,Critical account,business,2326,Btw 500 to 999 DM,Btw 1 to 4 years,2,male_single,none,4,car or other,27,bank,own,1,skilled employee,1,none,yes,bad
none,9,Existing credits paid back duly,business,1449,Less than 100 DM,Btw 4 to 7 years,3,female_divorced/separated/married,none,2,car or other,27,none,own,2,skilled employee,1,none,yes,bad
none,18,Existing credits paid back duly,new car,1820,Less than 100 DM,Btw 1 to 4 years,2,male_married/widowed,none,2,BSSA or life insurance,30,none,own,1,self-employed/management employee,1,registered,yes,bad
Btw 0 to 199 DM,12,Existing credits paid back duly,furniture/equipment,983,Equal or Greater than 1000 DM,Less than a year,1,female_divorced/separated/married,none,4,real estate,19,none,rent,1,unskilled - resident,1,none,yes,bad
Less than 0 DM,36,Existing credits paid back duly,new car,3249,Less than 100 DM,Btw 4 to 7 years,2,male_single,none,4,none,39,bank,free,1,self-employed/management employee,2,registered,yes,bad
Less than 0 DM,6,Critical account,radio/television,1957,Less than 100 DM,Btw 4 to 7 years,1,female_divorced/separated/married,none,4,car or other,31,none,own,1,skilled employee,1,none,yes,bad
none,9,Critical account,furniture/equipment,2406,Less than 100 DM,unemployed,2,male_single,none,3,car or other,31,none,own,1,self-employed/management employee,1,none,yes,bad
Btw 0 to 199 DM,39,Delays in paying off,education,11760,Btw 100 to 499 DM,Btw 4 to 7 years,2,male_single,none,3,none,32,none,rent,1,skilled employee,1,registered,yes,bad
Less than 0 DM,12,Existing credits paid back duly,furniture/equipment,2578,Less than 100 DM,unemployed,3,female_divorced/separated/married,none,4,none,55,none,free,1,self-employed/management employee,1,none,yes,bad
Less than 0 DM,36,Critical account,furniture/equipment,2348,Less than 100 DM,Btw 1 to 4 years,3,male_married/widowed,none,2,BSSA or life insurance,46,none,own,2,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,12,Existing credits paid back duly,new car,1223,Less than 100 DM,Greater than 7 years,1,male_divorced/separated,none,1,real estate,46,none,rent,2,skilled employee,1,none,yes,good
none,24,Critical account,radio/television,1516,Equal or Greater than 1000 DM,Btw 1 to 4 years,4,female_divorced/separated/married,none,1,real estate,43,none,own,2,unskilled - resident,1,none,yes,bad
none,18,Existing credits paid back duly,radio/television,1473,Less than 100 DM,Less than a year,3,male_married/widowed,none,4,real estate,39,none,own,1,skilled employee,1,registered,yes,bad
Btw 0 to 199 DM,18,Critical account,business,1887,none,Btw 1 to 4 years,4,male_married/widowed,none,4,real estate,28,bank,own,2,skilled employee,1,none,yes,bad
none,24,Delays in paying off,business,8648,Less than 100 DM,Less than a year,2,male_single,none,2,car or other,27,bank,own,2,skilled employee,1,registered,yes,good
none,14,Delays in paying off,new car,802,Less than 100 DM,Btw 1 to 4 years,4,male_single,none,2,car or other,27,none,own,2,unskilled - resident,1,none,yes,bad
Btw 0 to 199 DM,18,Delays in paying off,new car,2899,none,Greater than 7 years,4,male_single,none,4,car or other,43,none,own,1,skilled employee,2,none,yes,bad
Btw 0 to 199 DM,24,Existing credits paid back duly,radio/television,2039,Less than 100 DM,Less than a year,1,male_married/widowed,none,1,BSSA or life insurance,22,none,own,1,skilled employee,1,registered,yes,good
none,24,Critical account,used car,2197,none,Btw 4 to 7 years,4,male_single,none,4,car or other,43,none,own,2,skilled employee,2,registered,yes,bad
Less than 0 DM,15,Existing credits paid back duly,radio/television,1053,Less than 100 DM,Less than a year,4,male_married/widowed,none,2,real estate,27,none,own,1,skilled employee,1,none,no,bad
none,24,Existing credits paid back duly,radio/television,3235,Btw 500 to 999 DM,Greater than 7 years,3,male_divorced/separated,none,2,car or other,26,none,own,1,self-employed/management employee,1,registered,yes,bad
Equal or Greater than 200 DM,12,Critical account,new car,939,Btw 500 to 999 DM,Btw 4 to 7 years,4,male_married/widowed,none,2,real estate,28,none,own,3,skilled employee,1,registered,yes,good
